1,{'Apple'}^{'Cheese'}^{'Corn'}^{'Beans'}||{'Nutmeg'},0.71429
2,{'Apple'}^{'Cheese'}^{'Nutmeg'}^{'Onion'}||{'Corn'},0.72093
3,{'Apple'}^{'Corn'}^{'Eggs'}^{'Milk'}||{'Nutmeg'},0.775
4,{'Apple'}^{'Eggs'}^{'Nutmeg'}^{'Onion'}||{'Corn'},0.76923
5,{'Apple'}^{'Corn'}^{'Ice'}^{'Milk'}||{'Nutmeg'},0.71429
6,{'Corn'}^{'Beans'}^{'Nutmeg'}^{'Onion'}||{'Apple'},0.7381
7,{'Apple'}^{'Beans'}^{'Nutmeg'}^{'Onion'}||{'Corn'},0.79487
8,{'Corn'}^{'Nutmeg'}^{'Onion'}^{'Sugar'}||{'Apple'},0.70455
9,{'Bread'}^{'Butter'}^{'Corn'}^{'Kidney'}||{'cream'},0.74419
10,{'Bread'}^{'Corn'}^{'Kidney'}^{'Beans'}||{'cream'},0.78571
11,{'Bread'}^{'Corn'}^{'cream'}^{'Beans'}||{'Kidney'},0.70213
12,{'Bread'}^{'Corn'}^{'Kidney'}^{'Nutmeg'}||{'cream'},0.71429
13,{'Bread'}^{'cream'}^{'Nutmeg'}^{'chocolate'}||{'Sugar'},0.7381
14,{'Butter'}^{'Cheese'}^{'Ice'}^{'Sugar'}||{'cream'},0.72093
15,{'Butter'}^{'Corn'}^{'Kidney'}^{'Beans'}||{'cream'},0.74419
16,{'Corn'}^{'Dill'}^{'cream'}^{'Milk'}||{'Cheese'},0.73333
17,{'Cheese'}^{'Corn'}^{'Dill'}^{'Beans'}||{'Milk'},0.71429
18,{'Dill'}^{'Eggs'}^{'cream'}^{'Onion'}||{'Cheese'},0.73171
19,{'Dill'}^{'cream'}^{'Beans'}^{'Milk'}||{'Cheese'},0.71739
20,{'Dill'}^{'cream'}^{'Milk'}^{'chocolate'}||{'Cheese'},0.71739
21,{'Cheese'}^{'cream'}^{'Milk'}^{'chocolate'}||{'Dill'},0.70213
22,{'Cheese'}^{'Nutmeg'}^{'Onion'}^{'chocolate'}||{'cream'},0.7381
23,{'Corn'}^{'Beans'}^{'Milk'}^{'Onion'}||{'chocolate'},0.72093
24,{'Dill'}^{'Ice'}^{'Kidney'}^{'Onion'}||{'chocolate'},0.70213
